Muro;PK;Cota_Geomembrana
Principal;0+000;737.85
Principal;0+020;737.87
Principal;0+040;737.95
Principal;0+060;737.99
Principal;0+080;737.9
Principal;0+100;738.03
Principal;0+120;737.94
Principal;0+140;738.04
Principal;0+160;738.07
Principal;0+180;738.08
Principal;0+200;737.98
Principal;0+220;737.97
Principal;0+240;737.95
Principal;0+260;738.06
Principal;0+280;738.1
Principal;0+300;738.1
Principal;0+320;738.17
Principal;0+340;738.08
Principal;0+360;738.12
Principal;0+380;738.05
Principal;0+400;738.07
Principal;0+420;738.03
Principal;0+440;738.15
Principal;0+460;738.17
Principal;0+480;738.17
Principal;0+500;738.1
Principal;0+520;738.18
Principal;0+540;738.18
Principal;0+560;738.2
Principal;0+580;738.15
Principal;0+600;737.93
Principal;0+620;737.87
Principal;0+640;737.88
Principal;0+660;737.85
Principal;0+680;737.82
Principal;0+700;737.86
Principal;0+720;737.85
Principal;0+740;738.02
Principal;0+760;737.88
Principal;0+780;737.83
Principal;0+800;737.91
Principal;0+820;738.03
Principal;0+840;738.03
Principal;0+860;738.09
Principal;0+880;738.1
Principal;0+900;738.02
Principal;0+920;738.05
Principal;0+940;738.08
Principal;0+960;738.08
Principal;0+980;738.01
Principal;1+000;738
Principal;1+020;737.96
Principal;1+040;737.99
Principal;1+060;738
Principal;1+080;738.02
Principal;1+100;738.04
Principal;1+120;737.97
Principal;1+140;737.985
Principal;1+160;737.97
Principal;1+180;738.07
Principal;1+200;738.076
Principal;1+220;738.01
Principal;1+240;737.981
Principal;1+260;737.933
Principal;1+280;738.012
Principal;1+300;737.943
Principal;1+320;737.951
Principal;1+340;737.998
Principal;1+360;737.78
Principal;1+380;738.03
Principal;1+400;738.13
Principal;1+420;738.09
Principal;1+434;738.1
Oeste;0+000;738.51
Oeste;0+020;738.54
Oeste;0+040;738.5
Oeste;0+060;738.5
Oeste;0+080;738.51
Oeste;0+100;738.53
Oeste;0+120;738.47
Oeste;0+140;738.55
Oeste;0+160;738.56
Oeste;0+180;738.48
Oeste;0+200;738.5
Oeste;0+220;739
Oeste;0+240;738.96
Oeste;0+260;738.99
Oeste;0+280;739.1
Oeste;0+300;739.15
Oeste;0+320;738.751
Oeste;0+340;738.601
Oeste;0+360;738.573
Oeste;0+380;738.551
Oeste;0+400;738.617
Oeste;0+420;738.644
Oeste;0+440;738.645
Oeste;0+460;738.697
Oeste;0+480;738.693
Oeste;0+500;738.718
Oeste;0+520;738.691
Oeste;0+540;738.759
Oeste;0+560;738.768
Oeste;0+580;738.736
Oeste;0+600;738.751
Oeste;0+620;738.794
Oeste;0+640;738.719
Oeste;0+660;738.631
Oeste;0+680;738.615
Oeste;0+690;738.66
Este;0+000;738.01
Este;0+020;737.95
Este;0+040;737.98
Este;0+060;737.9
Este;0+080;737.94
Este;0+100;737.87
Este;0+120;738.01
Este;0+140;737.92
Este;0+160;737.95
Este;0+180;737.88
Este;0+200;737.78
Este;0+220;737.8
Este;0+240;737.88
Este;0+260;737.98
Este;0+280;737.98
Este;0+300;737.96
Este;0+320;738
Este;0+340;737.98
Este;0+360;737.99
Este;0+380;738.07
Este;0+400;738.09
Este;0+420;737.99
Este;0+440;738.06
Este;0+460;738.12
Este;0+480;738.13
Este;0+500;738.03
Este;0+520;738.1
Este;0+540;738.1
Este;0+551;738.03
