Perfil,X,Y
1,336204.4335,6332544.17
2,336215.0224,6332562.459
3,336224.2339,6332577.531
4,336234.9746,6332594.72
5,336244.7677,6332611.772
6,336254.7355,6332629.903
7,336266.0297,6332646.432
8,336276.2381,6332664.11
9,336287.2888,6332680.034
10,336296.5737,6332698.46
11,336306.2827,6332715.86
12,336316.8611,6332733.45
13,336327.5067,6332751.244
14,336335.9007,6332771.027
15,336341.8193,6332792.7
16,336341.3059,6332814.36
17,336335.7995,6332835.321
18,336332.1546,6332855.249
19,336328.377,6332875.131
20,336323.8584,6332894.49
21,336318.7844,6332914.15
22,336314.1518,6332933.269
23,336312.5286,6332955.652
24,336309.2086,6332973.289
25,336303.0849,6332992.323
26,336298.1239,6333011.525
27,336293.7968,6333031.41
28,336289.6526,6333051.062
29,336287.0292,6333068.285
30,336281.3809,6333089.813
31,336276.7314,6333109.484
32,336272.7743,6333129.282
33,336268.6425,6333148.002
34,336264.3103,6333167.845
35,336262.9093,6333188.133
36,336260.6323,6333198.185
37,336260.6323,6333198.185
